name,country,order,centroid_lat,centroid_lon,website,fb_group,fb_page
Slackline Bazar PL,PL,,51.91944,19.14514,,https://www.facebook.com/groups/257544307698804/,
Slackline Brasov,RO,Braşov,45.65797,25.6012,,https://www.facebook.com/groups/slacklinebrasov,
Slackline România,RO,,45.94316,24.96676,,,https://www.facebook.com/SlacklineRomania
Slackline Cluj,RO,Cluj,46.77121,23.62364,,https://www.facebook.com/groups/169046769860981,
Slackline Community Iași,RO,Iași,47.15845,27.60144,,https://www.facebook.com/groups/slacklineiasi,
Slackline Timişoara,RO,Timişoara,45.74887,21.20868,,https://www.facebook.com/groups/slacklinetimisoara,https://www.facebook.com/SlacklineTimisoara
Slackline Singapore,SG,,1.352083,103.8198,,https://www.facebook.com/groups/478515122258210/,
Slackline Madrid,ES,Madrid,40.41677,-3.70379,,https://www.facebook.com/groups/slacklinemadrid/,
Slackline Barcelona,ES,Barcelona,41.38506,2.173404,,https://www.facebook.com/groups/slacklinebarcelona/,
Slackline Sverige,SE,,60.12816,18.6435,,https://www.facebook.com/groups/433078836802573/,
Slackline Borås,SE,Borås,57.72104,12.93982,,https://www.facebook.com/groups/405278246243979/,
Slacklife Göteborg,SE,Göteborg,57.73729,11.97136,,https://www.facebook.com/groups/215519055284206/,
Malmö Slackline,SE,Malmö,55.57905,13.01087,,https://www.facebook.com/groups/malmoslackline/,
Stockholm Slackline,SE,Stockholm,59.32932,18.06858,,https://www.facebook.com/groups/445069082194192/,
SWISS-SLACKLINE.ch,CH,,46.81819,8.227512,,,https://www.facebook.com/swissslackline/
SLACKATTACK.ch,CH,Bern,46.94798,7.447447,,,https://www.facebook.com/SLACKATTACK.ch/
Basel City Slackliners,CH,Basel,47.5596,7.588576,,,https://www.facebook.com/baselcityslackliners.info/
Slackline Romandie,CH,Romandie,46.30795,7.056337,,,https://www.facebook.com/slacklineromandie/
SlackLions,CH,Zürich,47.37689,8.541694,,https://www.facebook.com/groups/slacklinezurich,
Slackline Tulsa,US,Tulsa,36.15398,-95.99277,,,https://www.facebook.com/groups/251853265249398/
Slackline Genève,CH,Geneva,46.20439,6.143157,,https://www.facebook.com/groups/slacklinegeneve/,
Slackline Valais,CH,Valais/Wallis,46.19046,7.544923,,,https://www.facebook.com/slackline-valaisch-197438560325112/
Lausanne slackline,CH,Lausanne,46.51965,6.632273,,https://www.facebook.com/groups/192514307581823/,
Slackline St.Gallen,CH,St.Gallen,47.42448,9.376718,,https://www.facebook.com/groups/slacktheplanet/,
Slacklining Basel,CH,Basel,47.5596,7.588576,,https://www.facebook.com/groups/449643248446404/,
Slackline Nordostschweiz,CH,Nordostschweiz,47.53397,7.638164,,https://www.facebook.com/groups/EastswissSlackline/,
Slackline TICINO,CH,Ticino,46.33173,8.800453,,https://www.facebook.com/groups/slacklinelugano/,
Slackline In Thailand,TH,,15.87003,100.9925,,https://www.facebook.com/groups/360170610783978/,
Slackline İstanbul,TR,İstanbul,41.00824,28.97836,,https://www.facebook.com/groups/slackist/,
Slack Doha,QA,Doha,25.28545,51.53104,,https://www.facebook.com/groups/219491371547755/,
Arizona YogaSlackers,US,Arizona,34.04893,-111.0937,,,https://www.facebook.com/YogaSlackersAZ/
Flagstaff Slacklining,US,Flagstaff,35.19828,-111.6513,,https://www.facebook.com/groups/340064109504614,
UA Slackers,US,Tucson,32.22174,-110.9265,,https://www.facebook.com/groups/uaslackers/,
Auburn Slacklining Club,US,Auburn,32.60986,-85.48078,,https://www.facebook.com/groups/auburnslackliners/,
Des Moines Slackers,US,Des Moines,41.60054,-93.60911,,https://www.facebook.com/groups/1047664528611339/,
Berkeley Slackers,US,Berkeley,37.87159,-122.2727,,https://www.facebook.com/groups/BerkeleySlackers/,
Orange County Slackers,US,Orange County,33.71747,-117.8311,,https://www.facebook.com/groups/137108036350049/,
Slackline Monterey Bay,US,Monterey,36.60024,-121.8947,,https://www.facebook.com/groups/275070142604078/,
Merritt Slackers,US,Oakland,37.80436,-122.2711,,https://www.facebook.com/groups/Merritt.Slackers/,
San Francisco Slackline,US,San Francisco,37.77493,-122.4194,,https://www.facebook.com/groups/27315717547,
Santa Cruz Slacklining,US,Santa Cruz,36.97412,-122.0308,,https://www.facebook.com/groups/319140531481119/,
SLO Slackline,US,San Luis Obispo,35.28275,-120.6596,,https://www.facebook.com/groups/251844684837163/,
Tri-County Slackers,US,Santa Barbara,34.42083,-119.6982,,https://www.facebook.com/groups/187369968019529/,
Rocky Mountain Slackline LLC,US,Fort Collins,40.58526,-105.0844,,,https://www.facebook.com/RockyMountainSlackline/
Slackline Fort Collins,US,Fort Collins,40.58526,-105.0844,,,https://www.facebook.com/SlacklineFortCollins
Slackers at CU,US,Boulder,40.01498,-105.2705,,https://www.facebook.com/groups/slackersatcu/,
Big Island Slacklining,US,Hawaii,19.89677,-155.5828,,https://www.facebook.com/groups/368068696575863/,
Boise Slackliners,US,Boise,43.61871,-116.2146,,https://www.facebook.com/groups/427968973908348/,
Pocatello Slackline,US,Pocatello,42.8713,-112.4455,,https://www.facebook.com/groups/320652928100808/,
Rexburg Slackline Friends,US,Rexburg,43.82311,-111.7924,,https://www.facebook.com/groups/566978626821226/,
Slackline Idaho,US,Idaho,44.0682,-114.742,,https://www.facebook.com/groups/399369496838199/,
Iowa City Slackers,US,Iowa,41.878,-93.0977,,https://www.facebook.com/groups/ICSlack/,
Illinois Slackliners,US,Illinois,40.63313,-89.39853,,https://www.facebook.com/groups/1126736540731993/,
DMV Slackliners,US,Maryland,39.04575,-76.64127,,https://www.facebook.com/groups/dmvslackline/,
Slackline Boston,US,Boston,42.36008,-71.05888,,https://www.facebook.com/groups/slacklineboston/,
MINNslack,US,Minneapolis,44.97775,-93.26501,,https://www.facebook.com/groups/minnslack/,
UMN Slackline Club,US,Twin Cities,44.93748,-93.201,,,https://www.facebook.com/umnslacklineclub/?qsefr=1
Bozeman Slackline Club,US,Bozeman,45.677,-111.0429,,https://www.facebook.com/groups/bozemanslacklineclub/,
Slackline KC,US,Kansas City,39.09973,-94.57857,,https://www.facebook.com/groups/distritomakco/,
Slackline New Hampshire,US,New Hampshire,43.19385,-71.5724,,https://www.facebook.com/groups/1166901753336363/,
Slack-Librium,US,Asheville,35.59506,-82.55148,,,https://www.facebook.com/SlackLibrium/
Asheville Slackliners,US,Asheville,35.59506,-82.55148,,https://www.facebook.com/groups/ashevilleslackliners/,
OSU Slackliners,US,Columbus,39.96117,-82.99879,,https://www.facebook.com/groups/107954635957548/,
Ohio Highliners,US,Columbus,39.96117,-82.99879,,https://www.facebook.com/groups/Ohiohighliners/,
Miami Slackers,US,Oxford,34.36649,-89.51925,,https://www.facebook.com/groups/miamislackers/,
NYC Slackliners,US,New York City,40.71278,-74.00594,,https://www.facebook.com/groups/469357513094071/,
Hudson Valley Slackline,US,Hudson Valley,41.9209,-73.96129,,https://www.facebook.com/groups/1592052381051309/,
Eugene Slackers,US,Eugene,44.05207,-123.0868,,https://www.facebook.com/groups/577767668937573/,
Central Oregon Slackline,US,Smith Rock,44.36824,-121.1406,,https://www.facebook.com/groups/CentralOregonSlackline/,
PA Slackers,US,Eastern Pennsylvania,40.60277,-75.46795,,https://www.facebook.com/groups/374828849224910/,
71slack9,US,Colorado Springs,38.83388,-104.8214,,https://www.facebook.com/groups/761165107385154/,
Swat Slackerz,US,Swarthmore,39.90684,-75.35565,,https://www.facebook.com/groups/511020135618606,
