Country/State,City/Region,Group Name,Link,Latitude,Longitude,Merged?,Map Link
,Countrywide,Cochabamba,https://www.facebook.com/groups/1869420666488590/,,,No
,Santa Cruz de la Sierra,Slackline Bolivia SC,https://www.facebook.com/slacklineboliviasc,,,No
BOSNIA AND HERZEGOVINA,Countrywide,Slackline Bosnia and Herzegovina,https://www.facebook.com/groups/851385948610847/,,,No
,Sarajevo,Slackline rajvosa,https://www.facebook.com/groups/slacklinesarajevo/,43.8580161995309,18.4046726773529,Yes,"https://www.google.com/maps/@43.8580161995309,18.4046726773529,15z"
BRAZIL,Countrywide,SlackLife Brasil,https://www.facebook.com/groups/slacklifebrasil/,,,No
,Countrywide,Slackline Brasil - Slack Click,https://www.facebook.com/groups/405317676251190/,,,No
,Countrywide,Pico do Highline,https://www.facebook.com/groups/picohighline,,,No
,Countrywide,Slack Salve !,https://www.facebook.com/groups/slacksalve/,,,No
,Abaeté (MG),Abaeté Slackline,https://www.facebook.com/abaeteslackline/,,,No
,Açailândia (MA),Açailândia Slackline,www.fb.com/A%C3%A7ail%C3%A2ndia-Slackline-651829084950349/,,,No
,Acre (AC),Slackline Acre,https://www.facebook.com/SlacklineAcre,,,No
,Alagoas (AL),União Slackline Alagoas,https://www.facebook.com/groups/490706880943948/,,,No
,Alegrete (RS),Slackline Alegrete,https://www.facebook.com/groups/192812154235523/,,,No
,Anápolis (GO),Slackline Anápolis,https://www.facebook.com/groups/108712299276795/,,,No
,Aracaju (SE),SlackLine Aracaju,https://www.facebook.com/groups/231114763617755/,,,No
,Arapongas (PR),Slack Arapongas A.C.I.C.S.,www.facebook.com/groups/278859202237917/,,,No
,Bagé (RS),Slackline Highline Bagé,https://www.facebook.com/groups/973651129323059/,,,No
,Bahia (BA),Slackline Bahia,https://www.facebook.com/groups/slacklinebahia,-12.57974,-41.70073,Yes,"https://www.google.com/maps/@-12.57974,-41.70073,15z"
,Beberibe (CE),Slackline Beberibe,https://www.facebook.com/groups/1378571289048137/,,,No
,Belém (MG),Slackline Belém,https://www.facebook.com/groups/515767741894869/,,,No
,Belford Roxo (RJ),Slackline na Praça de Heliopolis em Belford roxo,www.facebook.com/groups/649013938479083/,,,No
,Belo Horizonte (MG),Slack BH,https://www.facebook.com/groups/slackbh/,,,No
,Betim (MG),Slackline Betim Mg,https://www.facebook.com/groups/528276303864888/,,,No
,Blumenau (SC),Slackline Blumenau,https://www.facebook.com/groups/1472616139666177/,,,No
,Cachoeira do Sul (RS),SLACKLINE CACHOEIRA,https://www.facebook.com/groups/slacklinecachoeira/,-12.60104,-38.96593,Yes,"https://www.google.com/maps/@-12.60104,-38.96593,15z"
,Cachoeira do Sul (RS),Slackline Cachoeira do Sul,https://www.facebook.com/groups/491692224206518/,,,No
,Camaçari (BA),Slackline Camaçari,https://www.facebook.com/groups/408860715807356/,,,No
,Camaquã (RS),Slack Camaquã,https://www.facebook.com/Slackcamaqua/,,,No
,Campinas (SP),KONG Slackline Campinas,https://www.facebook.com/groups/368772403192359/,,,No
,Campinas (SP),Slackline Campinas,https://www.facebook.com/groups/1493955084168330/,,,No
,Campinas (SP),Slackline Campinas e região,www.facebook.com/groups/366439460082746/,-22.90994,-47.06263,Yes,"https://www.google.com/maps/@-22.90994,-47.06263,15z"
,Campo Grande (MS),Slackline Campo Grande,www.fb.com/Slackline-Campo-Grande-740272369433135/,,,No
,Campo Grande (MS),Slackline - Campo Grande MS ADRENALINE,www.fb.com/groups/285152804895652/,,,No
