Country/State,City/Region,Group Name,Link,Latitude,Longitude
,Plovdiv,Slackline Plovdiv,https://www.facebook.com/groups/174883869238889,,
,Sofia,Slackline Sofia,https://www.facebook.com/groups/143328156063085,,
,Varna,Slackline club Varna,https://www.facebook.com/groups/594975457308215,,
,,Slackline Varna (Слаклайн Варна),www.facebook.com/groups/1406857029585051,,
,,,,,
CAMEROON,Countrywide,Slackline Kamer,https://www.facebook.com/groups/787938664597959/,,
,,,,,
CANADA,Countrywide,Canadian Slackline Association,https://www.facebook.com/CadSlackline/,,
,Countrywide,Slacklife Canada,https://www.facebook.com/groups/432835443405899/,,
,Countrywide,Slacklining Canada,https://www.facebook.com/slackliningcanada/,,
,Alberta,Alberta Slackers,https://www.facebook.com/groups/176975666133187/,,
,Bedford,Bedford Slackline ,https://www.facebook.com/groups/495843480550996/,,
,Calgary,Bow Valley Slackliners,https://www.facebook.com/groups/1704716063086566/,,
,Calgary,Slackline Calgary,https://www.facebook.com/groups/339473229789368/,,
,Chilliwack,Chilliwack Slack,https://www.facebook.com/groups/1077165048999007/,,
,Cornwall,The Cornwall Slackline Page,https://www.facebook.com/groups/587244164627757/,,
,Edmonton,Slackliners of Edmonton,https://www.facebook.com/groups/211002758918242/,,
,Edmundston,Slackline Edmundston,https://www.facebook.com/groups/1501481426833750/,,
,Etobicoke,Slackclimbers,https://www.facebook.com/groups/756052384496549/,,
,Farnham,Farnham slacklining,www.facebook.com/Farnham-slacklining-502263890163368/,,
,Fernie,Slackline Sesh in Fernie,https://www.facebook.com/groups/1827547270897443/,,
,Gaspé,Slackline & AcroYoga Gaspé,https://www.facebook.com/groups/1620549374939415/,,
,Gatineau,Gatineau Slackline,https://www.facebook.com/groups/425295077504631/,,
,Hamilton,Hamilton Slackline,https://www.facebook.com/groups/781300955281222/,,
,Inuvik,Inuvik Slacklining Club (Arctic Slackers),www.facebook.com/groups/188006831749292,,
,Kamloops,Kamloops Slacklining Adventures!,www.facebook.com/groups/1444640245812088/,,
,Kamloops,Slackline Kamloops,www.facebook.com/Slackline-Kamloops-319424644880278/,,
,Kelowna ,Kelowna Slackline Community,www.facebook.com/groups/114565112080540/,,
,Kenora,Slackline Kenora,https://www.facebook.com/groups/304851759611733/,,
,Kingston,Slacking at Queen's & Kingston,https://www.facebook.com/groups/29694056673/,,
,Kingston,Slackline Kingston,https://www.facebook.com/groups/120194905211536/,,
,Kingston,Slackline Kingston,https://www.facebook.com/groups/247035795347194/,,
,Kitchener,Kitchener-Waterloo Slacklining,www.facebook.com/groups/646764172125480/,,
,Lévis ,Slackline Lévis,https://www.facebook.com/groups/772716446174620/,,
,London,Slackline London Ontario,https://www.facebook.com/groups/412043318817355/,,
,Magog,Slackline Magog,https://www.facebook.com/groups/398808076885476/,,
,Montréal,Slackline Montréal,https://www.facebook.com/groups/slacklinemontreal/,,
,Montréal,Slackline Montréal - Highline Workshops,www.fb.com/groups/highlineworkshops,,
,Montréal,Slackline Rive-Sud,https://www.facebook.com/groups/130563120858632/,,
,Montréal,TEAM Slack Mtl,https://www.facebook.com/groups/2027100714239102/,,
,Nelson,Nelson Slacklining,https://www.facebook.com/groups/340867742759589/,,
,Nelson,Slackline Nelson BC (Canada),https://www.facebook.com/groups/124298661311965/,,
,New Brunswick,Slacklife NB,https://www.facebook.com/groups/1682321995415430/,,
,North Bay,Slackline North Bay,https://www.facebook.com/groups/1623450987984340/,,
,Ottawa,Slacklining in Ottawa,https://www.facebook.com/groups/28000881991/,,
,Owen Sound,Slacklining Owen Sound,https://www.facebook.com/groups/2256408877917818,,
,Peterborough,Kawartha Slacklife,https://www.facebook.com/groups/802211439835623/,,
