Country/State,City/Region,Group Name,Link,Latitude,Longitude,Merged?,Map Link
,Poperinge,Slackline Poperinge,https://www.facebook.com/groups/915685111824943/,50.853964,2.726424,No,https://goo.gl/maps/qU8Bm3ByKQ8RZAUh6
,Tournai,Slackline Tournai,https://www.facebook.com/groups/736381096397115/,50.608096,3.389804,No,https://goo.gl/maps/GYRpsVXFnQJitBg57
BOLIVIA,Countrywide,Slackline Bolivia,https://www.facebook.com/SlacklineBolivia,-17.635651,-64.510785,No,https://goo.gl/maps/x7Jsy4ZnYzZd6sXL8
,Countrywide,Cochabamba,https://www.facebook.com/groups/1869420666488590/,-17.1301,-64.988587,No,https://goo.gl/maps/JeeY3ZYMyhXJEfBp9
,Santa Cruz de la Sierra,Slackline Bolivia SC,https://www.facebook.com/slacklineboliviasc,-17.784126,-63.179814,No,https://goo.gl/maps/9B3Bs3yFsbdrtMkt6
BOSNIA AND HERZEGOVINA,Countrywide,Slackline Bosnia and Herzegovina,https://www.facebook.com/groups/851385948610847/,44.375603,17.750548,No,https://goo.gl/maps/B4se5pz6WeMSU5AJ8
,Sarajevo,Slackline rajvosa,https://www.facebook.com/groups/slacklinesarajevo/,43.8580162,18.40467268,Yes,"https://www.google.com/maps/@43.8580161995309,18.4046726773529,15z"
BRAZIL,Countrywide,SlackLife Brasil,https://www.facebook.com/groups/slacklifebrasil/,-9.895025,-58.086204,No,https://goo.gl/maps/BeWswoZ2yQmBGVF76
,Countrywide,Slackline Brasil - Slack Click,https://www.facebook.com/groups/405317676251190/,-9.776909,-56.840927,No,https://goo.gl/maps/bdsv2KuoLGMkNqp56
,Countrywide,Pico do Highline,https://www.facebook.com/groups/picohighline,-9.781061,-55.54596,No,https://goo.gl/maps/GVgcrD1vF7ox5PkN9
,Countrywide,Slack Salve !,https://www.facebook.com/groups/slacksalve/,-9.625396,-54.977311,No,https://goo.gl/maps/cp614MfddVK79fSD8
,Abaeté (MG),Abaeté Slackline,https://www.facebook.com/abaeteslackline/,-19.154867,-45.444034,No,https://goo.gl/maps/yr5V3Nq74ZFJKiQy7
,Açailândia (MA),Açailândia Slackline,www.fb.com/A%C3%A7ail%C3%A2ndia-Slackline-651829084950349/,-4.954866,-47.502875,No,https://goo.gl/maps/HssqZ9dbvwRrmBvE9
,Acre (AC),Slackline Acre,https://www.facebook.com/SlacklineAcre,-9.994611,-67.819916,No,https://goo.gl/maps/4QZ8TCQNDuuiX2hAA
,Alagoas (AL),União Slackline Alagoas,https://www.facebook.com/groups/490706880943948/,-9.777857,-36.723002,No,https://goo.gl/maps/Un4WbE7qJWGTEBSy6
,Alegrete (RS),Slackline Alegrete,https://www.facebook.com/groups/192812154235523/,-29.792352,-55.797392,No,https://goo.gl/maps/pMhGzrB1mwncdFCz6
,Anápolis (GO),Slackline Anápolis,https://www.facebook.com/groups/108712299276795/,-16.321157,-48.954949,No,https://goo.gl/maps/LxniXGCTUyh9SdUz6
,Aracaju (SE),SlackLine Aracaju,https://www.facebook.com/groups/231114763617755/,-10.960847,-37.072948,No,https://goo.gl/maps/qJyoauFTHYJyU2hG6
,Arapongas (PR),Slack Arapongas A.C.I.C.S.,www.facebook.com/groups/278859202237917/,-23.418861,-51.42775,No,https://goo.gl/maps/5yGAcUNXbYnCDXSDA
,Bagé (RS),Slackline Highline Bagé,https://www.facebook.com/groups/973651129323059/,-31.334703,-54.102708,No,https://goo.gl/maps/JT1rWUBvuRG7Bcfb6
,Bahia (BA),Slackline Bahia,https://www.facebook.com/groups/slacklinebahia,-12.57974,-41.70073,Yes,"https://www.google.com/maps/@-12.57974,-41.70073,15z"
,Beberibe (CE),Slackline Beberibe,https://www.facebook.com/groups/1378571289048137/,"-4.182193,",-38.129895,No,https://goo.gl/maps/CThPEZ4tuKVtQESb9
,Belém (MG),Slackline Belém,https://www.facebook.com/groups/515767741894869/,-18.900779,-41.616691,No,https://goo.gl/maps/BmVF51mHLNMiWu7W8
,Belford Roxo (RJ),Slackline na Praça de Heliopolis em Belford roxo,www.facebook.com/groups/649013938479083/,-22.745336,-43.381811,No,https://goo.gl/maps/Z6uBQmVJtR73Yyb46
,Belo Horizonte (MG),Slack BH,https://www.facebook.com/groups/slackbh/,-19.902585,-43.938637,No,https://goo.gl/maps/26GS2DrkfUDHenkD7
,Betim (MG),Slackline Betim Mg,https://www.facebook.com/groups/528276303864888/,-19.959392,-44.199595,No,https://goo.gl/maps/yAB1pBtwUzuZchdy8
,Blumenau (SC),Slackline Blumenau,https://www.facebook.com/groups/1472616139666177/,-26.914915,-49.072527,No,https://goo.gl/maps/GJ6d19V2UW1XVBWDA
,Cachoeira,SLACKLINE CACHOEIRA,https://www.facebook.com/groups/slacklinecachoeira/,-12.60104,-38.96593,Yes,"https://www.google.com/maps/@-12.60104,-38.96593,15z"
,Cachoeira do Sul (RS),Slackline Cachoeira do Sul,https://www.facebook.com/groups/491692224206518/,-30.040848,-52.893513,No,https://goo.gl/maps/2gCnnw7haWsg3Bww8
,Camaçari (BA),Slackline Camaçari,https://www.facebook.com/groups/408860715807356/,-12.702547,-38.331004,No,https://goo.gl/maps/SW634DmYnufGJwCu7
,Camaquã (RS),Slack Camaquã,https://www.facebook.com/Slackcamaqua/,-30.850971,-51.804872,No,https://goo.gl/maps/VK3phVx39n4vmPZa7
,Campinas (SP),KONG Slackline Campinas,https://www.facebook.com/groups/368772403192359/,-22.905196,-47.060641,No,https://goo.gl/maps/WP3E9qgeohiWWzgc8
,Campinas (SP),Slackline Campinas,https://www.facebook.com/groups/1493955084168330/,-22.912193,-47.062314,No,https://goo.gl/maps/vaV8H2Gn5naUUy2c9
,Campinas (SP),Slackline Campinas e região,www.facebook.com/groups/366439460082746/,-22.90994,-47.06263,Yes,"https://www.google.com/maps/@-22.90994,-47.06263,15z"
,Campo Grande (MS),Slackline Campo Grande,www.fb.com/Slackline-Campo-Grande-740272369433135/,-20.482656,-54.638604,No,https://goo.gl/maps/M5ECsmLu8i5AsC6b9
,Campo Grande (MS),Slackline - Campo Grande MS ADRENALINE,www.fb.com/groups/285152804895652/,-20.48321,-54.625712,No,https://goo.gl/maps/8i98iVQBQpPeropz8
